adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,,[],1184267,fr,Les dernières heures du millénaire,"A young woman leaves the man she lives with in the middle of the night. All the next day, she searches for a place to sleep, in vain.",0.6,,1990-01-01,Les dernières heures du millénaire,False,0.0,0
False,,[],1159410,fr,Mys et Thienot,,0.6,,1990-01-01,Mys et Thienot,False,0.0,0
False,,[],1117491,fr,Le soleil et ses traces,,0.6,,1990-01-01,Le soleil et ses traces,False,0.0,0
False,,[],1100948,fr,I Object,,0.6,,1990-01-01,I Object,False,0.0,0
False,,[],1095994,fr,Skolimowski à la table,"André S. Labarthe invites Jerzy Skolimowski to the editing table, to analyze his film Walkower shot by shot.  Episode of the TV program ""Cinéma, cinémas"".",0.6,,1990-01-01,Skolimowski à la table,False,0.0,0
False,,[],1092683,fr,L'homme qui a vu l'homme qui a vu l'ours,"A tribute to Orson Welles.  When Kovacs meets Agi, he does not know what awaits him: cinema, alcohol and love do not mix well when you are a Hungarian director parachuted into Hollywood...",0.6,,1990-01-01,The Big O,False,0.0,0
False,,"[99, 12]",1055798,fr,Skiing Extreme III,,0.6,/ga0TbSmK61Hb5Qai2xwcBa38Paz.jpg,1990-01-01,Skiing Extreme III,False,10.0,1
False,,[18],1027737,fr,Mamy Wata,1968: Justin Ohounou is the Minister of the Interior Department. He is involved in scheming with a corrupt business man. His goal is to eliminate by all means his political enemy Christian Adegbe and all of the Adegbe Tribe.,1.09,/8u64M5fUmdLIpx7ZnSTYsEBFhRO.jpg,1990-01-01,Mamy Wata,False,0.0,0
False,,[35],985306,fr,Ma cousine de Varsovie,,0.6,/48rctchsAN69fdiIgx0ZIhe8pD1.jpg,1990-01-01,Ma cousine de Varsovie,False,0.0,0
False,,[99],965465,fr,La Valise,A César award winning documentary depicting a young man who finds a beer can that his friend manages to turn into a suitcase that he can sell to a tourist.,0.6,,1990-01-01,La Valise,False,0.0,0
False,,[18],965314,fr,La bête dans la jungle,,1.34,/Abb3PjzEOE60g5rlMRKYUHC6Dwp.jpg,1990-01-01,La bête dans la jungle,False,0.0,0
False,,"[99, 10402]",958497,fr,Cat Listening to Music,Chris Marker films a cat reacting to the sound of a piano playing.,0.6,/iiSOvvc0x8XUFXsvaAZLuv2vJKP.jpg,1990-01-01,Cat Listening to Music,False,10.0,2
False,/yGsK7Ufabar733EcAAq9kc3bNMp.jpg,[],944776,fr,"Nijinski, la marionnette de Dieu","As he gradually turns mad, the dancer Nijinsky evokes the important episodes of his life. In costumes and sets of lush beauty, the divine puppet performs in a final show where the secondary characters are named: Diaghilev, Isadora Duncan, Stravinsky, Auguste Rodin, Léon Bakst.",0.6,/gO5IONP0BpWKL8cOOELE1gOJpof.jpg,1990-01-01,"Nijinski, la marionnette de Dieu",False,0.0,0
False,,[99],937272,fr,L'illusionniste,"An enchanting mini-portrait of Antoinette, an 86½-year-old magician. Clad in a dress coat and white satin top hat, the elegant Parisienne performs ostensibly simple tricks with astonishing sleight-of-hand. With no more than a napkin, tissue paper or a rain of plastic flowers, Antoinette conjures up a hopeful universe.",1.09,,1990-01-01,The Illusionist,False,0.0,0
False,/3orTf4L93oJqdmhDNOQieoMJlfv.jpg,[99],928301,fr,Les derniers Marranes,"Despite being forcibly converted to Christianity in 1497 many of the Jews of Portugal continued to practice Judaism in secret. Today, residents of the village of Belmonte practice an amalgam of Christian and Jewish rituals.",0.6,/aS2xxZJrkMeqEmUEsIxQ5mJWGvh.jpg,1990-01-01,The Last Marranos,False,0.0,0
